List,Expense Type,Transfer Date,Expenses ฿,Total Expenses (฿),Vendor,End Subscript Date,Payment Recipe,Remark,Project,Product Cost,Quantity,Transfer Account,VAT 7%,Withholding 3%,Invoice,"Invoice Date ",Receipt,Subscription Remaining,Category,ID,User Account,Total Expenses,Expenses $
Phone,Personal,28/03/2025,"THB 2,238.49",2238.49,,,,,,,,,,,,,,,,92,,58.599214659686,
"voice ",Business,27/05/2025,THB 636.44,636.44,PlayHT (https://www.notion.so/PlayHT-2390613ba140813ca01ae7a8c40a9036?pvs=21),27/06/2025,,,,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,,,,,,,⌛-69d.,,109,,16.660732984293,
"Pay dept “prae” ",Personal,30/05/2025,"THB 4,500.00",4500,,,,,,,,,,,,,,,,104,,117.801047120419,
Go Trang ‘Relationship’,Personal,04/04/2025,"THB 2,425.00",2425,,,,,,,,,,,,,,,,105,,63.48167539267,
canabis,Personal,24/05/2025,THB 50.00,50,,,,,,,,,,,,,,,,113,,1.30890052356,
Cursor AI,Business,23/05/2025,THB 676.09,676.09,Cursor (https://www.notion.so/Cursor-2390613ba14081f6839dd3b14fa7a9e8?pvs=21),23/06/2025,,,Untitled (https://www.notion.so/1be43d34092880c5a349c53c78a0147a?pvs=21),,,,,,,,,⌛-73d.,,110,,17.698691099476,
Notion,Business,26/05/2025,THB 405.16,405.16,Notion (https://www.notion.so/Notion-2390613ba140818aaa6efc0f7699a1f6?pvs=21),26/06/2025,,,Untitled (https://www.notion.so/1be43d34092880c5a349c53c78a0147a?pvs=21),,,,,,,,,⌛-70d.,,106,,10.606282722513,
M.2 / 1TB,Business,24/05/2025,"THB 1,990.00",1990,JIB (https://www.notion.so/JIB-2390613ba1408149ac61f4581481fd3a?pvs=21),,,,,,,,,,,,,,,111,,52.094240837696,
GPT,Business,13/05/2025,THB 735.26,735.26,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),13/06/2025,,,,,,,,,,,,⌛-83d.,,103,,19.247643979058,
voice generater test,Business,27/05/2025,THB 334.97,334.97,LOVO AI (https://www.notion.so/LOVO-AI-2390613ba1408171889bdd8de55aedb8?pvs=21),27/06/2025,,,,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,,,,,,,⌛-69d.,,107,,8.768848167539,
YT,Business,21/05/2025,THB 359.00,359,Google : youtube (https://www.notion.so/Google-youtube-2390613ba14081a89f18ce1a9678cd74?pvs=21),21/06/2025,,,,,,,,,,,,⌛-75d.,,102,,9.397905759162,
Spending,Personal,01/05/2025,"THB 1,930.00",1930,,,,,,,,,,,,,,,,108,,50.523560209424,
"Droplet ",Business,01/06/2025,THB 62.11,62.11,,,,,,,,PayPal,,,,,,,,112,,1.625916230366,
Sugar,Personal,16/06/2025,THB 125.00,125,,,,,,,,,,,,,,,,122,,3.272251308901,
Food,Personal,16/06/2025,THB 167.00,167,,,,,,,,,,,,,,,,118,,4.371727748691,
Weed reward,Business,17/06/2025,THB 121.00,121,,,,,,,,,,,,,,,,123,,3.167539267016,
