List,Transfer Date,Product/Service,Customers,Price ฿,Withholding 3% ฿,Sale Cost/Commission,VAT 7% ฿,Total Income ฿,Transfer Account,Invoice,Invoice No.,"Invoice Date ",Transection Recipe,Accounting Doc.,ID,User Account,Income $,Total Income $
Fastwork  #J4EJ9YF2,19/11/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,500.00",THB 45.00,THB 255.00,,1200,KS - 9788,,16241208,08/12/2024,,,16,,,31.413612565445
Fastwork https://fastwork.co/user/axsjawsk?source=web_chat_header#2DPFIV7B,24/03/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 3,000.00",,THB 300.00,,2700,KS - 9788,,29250314,14/03/2025,,,29,,,70.680628272251
Fastwork #AVJKP2MP,23/07/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,THB 500.00,,THB 80.00,,420,KS - 9788,https://doc.fastwork.co/v2/order/3879c9ea-d730-4b6c-8338-92a012281ade/invoice?document_code=IVAVJKP2MP-2&company=true,25240708,08/07/2024,https://doc.fastwork.co/v2/order/3879c9ea-d730-4b6c-8338-92a012281ade/receipt?document_code=REAVJKP2MP-1&company=true,a19d3e2c-0b99-4115-ba02-bd6669ad52e1.pdf,25,indystyle33,,10.994764397906
Found Content Creator,26/02/2025,Writing (https://www.notion.so/Writing-2390613ba14081ff8d03e858cca41be0?pvs=21),,"THB 3,300.00",,,,3300,KS - 9788,,,,,,26,,,86.387434554974
Fastwork https://fastwork.co/user/goodgroovy?source=web_chat_header#374O6RZA,19/02/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,THB 500.00,,,,500,KS - 9788,,,,,,27,,,13.089005235602
Notion Specialist 01/25,02/02/2025,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 2,500.00",,,,2500,KS - 9788,,,,,,24,,,65.44502617801
Fastwork https://fastwork.co/user/goodgroovy?source=web_chat_header#374O6RZA,24/02/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,THB 500.00,,,,500,KS - 9788,,,,,,28,,,13.089005235602
fastwork M0Y01GXS,21/04/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,500.00",THB 45.00,THB 150.00,,1305,KS - 9788,,36250407,07/04/2025,,,36,,,34.162303664921
Fastwork https://fastwork.co/user/chanatod?source=web_chat_header#1YVK54HH,11/03/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 3,000.00",THB 90.00,THB 300.00,,2610,KS - 9788,,31250228,28/02/2025,,,31,,,68.324607329843
Fastwork https://fastwork.co/user/fahsuykb?source=web_chat_header#EEMP3I11,04/03/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 2,000.00",,THB 200.00,,1800,KS - 9788,,30250222,22/02/2025,,,30,,,47.120418848168
fastwork OSPCSRC5,29/04/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,500.00",,THB 150.00,,1350,KS - 9788,,35250424,24/04/2025,,,35,,,35.340314136126
Notion Design,05/08/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),,"THB 2,739.00",,,,2739,,inv.08-01.pdf,33240801,01/08/2024,Slip_July_2024_Naruecha_Prasop.pdf,,33,indystyle33,,71.701570680628
K.ฐา ClickUp,22/04/2025,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),,THB 500.00,,,,500,,,34250422,22/04/2025,,,34,,,13.089005235602
Fastwork https://fastwork.co/user/goodgroovy?source=web_chat_header#EOUWUUXE,24/03/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 1,800.00",,THB 180.00,,1620,KS - 9788,,32250309,09/03/2025,,,32,,,42.408376963351
Notion Specialist 4/25 “onsite”,21/04/2025,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 7,000.00",,,,7000,KS - 9788,,,,,,37,,,183.246073298429
QA: Assistant.,27/06/2025,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Gigg 10x Productive (https://www.notion.so/K-Gigg-10x-Productive-2390613ba140819ebb2ff79e393fdf0a?pvs=21),"THB 1,500.00",,,,1500,,,,,,,46,,,39.267015706806
Notion design,03/07/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Yoot (https://www.notion.so/K-Yoot-2390613ba140810ea31cf87004c18d8e?pvs=21),"THB 4,985.80",THB 154.20,,,4831.6,KS - 9788,88240702.pdf,45240702,02/07/2024,Slip_June_Naruecha.pdf,,45,indystyle33,,126.48167539267
ออเดอร์: LCQY3UN1,06/05/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,500.00",THB 45.00,THB 150.00,,1305,,,,,,,44,,,34.162303664921
5NNB5SUB,27/05/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 3,000.00",THB 90.00,THB 300.00,,2610,,,,,,,42,,,68.324607329843
ออเดอร์: 5T20XA2I,06/05/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 3,000.00",THB 90.00,THB 300.00,,2610,,,41250525,25/05/2025,,,41,,,68.324607329843
P5NDSC20,27/05/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 3,000.00",THB 90.00,THB 300.00,,2610,,,,,,,39,,,68.324607329843
ออเดอร์: PWN9PWSO,06/05/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,500.00",THB 45.00,THB 150.00,,1305,,,,,,,43,,,34.162303664921
ออเดอร์: F1NKS7WZ,20/05/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 3,000.00",THB 90.00,THB 300.00,,2610,,,,,,,40,,,68.324607329843
fastwork 0SXOVDO2,29/04/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,500.00",THB 45.00,THB 150.00,,1305,KS - 9788,,38250422,22/04/2025,,,38,,,34.162303664921
Workshop Voice Over EP2,26/09/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Sinchai (https://www.notion.so/Sinchai-2390613ba1408191bbcefb6dec7dee91?pvs=21),"THB 3,600.00",THB 108.00,THB 571.96,THB 40.04,2960.08,KS - 9788,,,,,,54,indystyle33,,75.392670157068
4OI3F9B1,24/06/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 3,000.00",THB 90.00,THB 300.00,,2610,,,49250612,12/06/2025,,,49,,,68.324607329843
FEROYO36,04/06/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 3,000.00",,THB 300.00,,2700,,,51250520,20/05/2025,,,51,,,70.680628272251
TAR0I5JT,04/06/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 3,000.00",,THB 300.00,,2700,,,48250526,26/05/2025,,,48,,,70.680628272251
8KG066UL,04/06/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 2,000.00",THB 60.00,THB 200.00,,1740,,,50250527,27/05/2025,,,50,,,45.549738219895
Fastwork #UYLRUE2W,30/07/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,THB 800.00,,THB 128.00,,672,KS - 9788,https://doc.fastwork.co/v2/order/ff1a268c-816e-4ecd-b93e-cb6a3de1c6a6/invoice?document_code=IVUYLRUE2W-1,53240716,16/07/2024,RECEIPT_UYLRUE2W.pdf,https://doc.fastwork.co/v2/user/withdrawal/receipt/92c29b1f-1428-4713-a5e8-cc86b3d75a65?original=true,53,,,17.591623036649
9TMQRF8M,24/06/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Fastwork (https://www.notion.so/Fastwork-2390613ba14081d7bc65c7c403acc86c?pvs=21),"THB 3,500.00",,THB 350.00,,3150,,,47250609,09/06/2025,,,47,,,82.460732984293
Blox fruit ID,15/11/2023,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,THB 500.00,,,,500,KS - NO Card,,,,,,55,,,13.089005235602
BARTR1OW,02/07/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),"THB 1,700.00",THB 51.00,THB 170.00,,1479,,,52250720,20/07/2025,,,52,,,38.717277486911
Fastwork #PHLZRIRP,04/09/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),THB 200.00,,THB 32.00,,168,KS - 9788,quotation_24-08-23.pdf,57240823,23/08/2024,receipt_24-08-23.pdf,,57,indystyle33,,4.397905759162
CPram,11/12/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,440.00",,,,1440,KS - 9788,,,,,,59,indystyle33,,37.696335078534
ออเดอร์: S72FMMSH,24/06/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),K.Yoot (https://www.notion.so/K-Yoot-2390613ba140810ea31cf87004c18d8e?pvs=21),"THB 1,700.00",THB 51.00,THB 272.00,,1377,KS - 9788,,,,,,58,indystyle33,,36.047120418848
Fastwork #GHT2QRUI,26/08/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),fahsuykb (Fastwork) (https://www.notion.so/fahsuykb-Fastwork-2390613ba14081348dace0c628d89dd2?pvs=21),THB 200.00,,THB 32.00,,167.99838,KS - 9788,invoice_24-08-21.pdf,56240821,21/08/2024,reciept_24-08-21.pdf,02c56237-d1ee-4f51-a13e-45a9c451ca66.pdf,56,indystyle33,,4.397863350785
Kubota Video,02/11/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 2,800.00",,THB 476.00,,2324,KS - 9788,,,,,,62,indystyle33,,60.837696335079
Fastwork #3VF8TYG9,17/07/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,500.00",THB 45.00,THB 240.00,,1215,KS - 9788,https://doc.fastwork.co/v2/order/56673d09-fbbc-4e1f-812c-3a2c4a28c22e/invoice?document_code=IV3VF8TYG9-1&company=true,64240701,01/07/2024,https://doc.fastwork.co/v2/order/56673d09-fbbc-4e1f-812c-3a2c4a28c22e/receipt?document_code=RE3VF8TYG9-1&company=true,bf03b2c4-3388-442a-8310-17c5286f5b4d.pdf,64,indystyle33,,31.806282722513
TL Lucent,29/12/2023,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,"THB 1,500.00",,,,1500,KS - 9788,,,,,,60,,,39.267015706806
ออเดอร์: Q5UGIE83,15/06/2024,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,500.00",THB 45.00,THB 240.00,,1215,KS - 9788,,,,,,61,indystyle33,,31.806282722513
ออเดอร์: 8D8USMQ7,15/06/2024 15:01 (GMT+7),Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,500.00",THB 45.00,THB 240.00,,1215,KS - 9788,,,,,,63,indystyle33,,31.806282722513
WSL6XZLD,03/06/2024 14:41 (GMT+7),Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,THB 500.00,,THB 85.00,,415,KS - 9788,,,,,,65,indystyle33,,10.86387434555
Workshop Voice Over EP1,26/09/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Sinchai (https://www.notion.so/Sinchai-2390613ba1408191bbcefb6dec7dee91?pvs=21),"THB 3,600.00",THB 108.00,THB 571.96,THB 40.04,2960.08,KS - 9788,,,,,,68,indystyle33,,75.392670157068
W1OALI77,25/12/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,THB 996.00,,,,996,KS - 9788,,,,,,66,indystyle33,,26.073298429319
Tithiporn#2LQBBHOK,11/09/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),Tithiporn (https://www.notion.so/Tithiporn-2390613ba14081c9ba6dd93acb32fa7d?pvs=21),THB 600.00,,THB 95.33,THB 6.67,511.34,KS - 9788,,,,,,70,indystyle33,,13.03664921466
Sainampung School,17/10/2023,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,000.00",,THB 170.00,,830,KS - 9788,,,,,,67,indystyle33,,21.727748691099
ออเดอร์: J6B9B0KU,06/06/2024 17:36 (GMT+7),Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 1,500.00",THB 45.00,THB 255.00,,1200,KS - 9788,,,,,,69,indystyle33,,31.413612565445
Fastwork #4135P92I,07/08/2024,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),K.Morn (https://www.notion.so/K-Morn-2390613ba1408117850cd0fcb2f3b38a?pvs=21),"THB 1,950.00",,THB 312.00,,1638,KS - 9788,invoice.pdf,71240722,22/07/2024,receipt.pdf,24-08-07.pdf,71,indystyle33,,42.879581151832
#9N3XJ924,01/08/2025,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,"THB 3,000.00",THB 90.00,THB 300.00,,2610,,,,,,,74,,,68.324607329843
